bug: abort in add_browser, pair: (abort, lseek), support: 16, confidence: 80.00%
bug: inet_ntop4 in fix_hostname, pair: (conv_10_quad, inet_ntop4), support: 82, confidence: 96.47%
bug: inet_ntop4 in fix_hostname, pair: (conv_apr_sockaddr, inet_ntop4), support: 82, confidence: 96.47%
bug: inet_ntop4 in fix_hostname, pair: (conv_fp, inet_ntop4), support: 82, confidence: 96.47%
bug: inet_ntop4 in fix_hostname, pair: (conv_in_addr, inet_ntop4), support: 82, confidence: 96.47%
bug: inet_ntop4 in fix_hostname, pair: (conv_os_thread_t_hex, inet_ntop4), support: 82, confidence: 96.47%
bug: inet_ntop4 in fix_hostname, pair: (conv_os_thread_t, inet_ntop4), support: 82, confidence: 96.47%
bug: inet_ntop4 in fix_hostname, pair: (conv_p2_quad, inet_ntop4), support: 82, confidence: 96.47%
bug: inet_ntop4 in handle_map_file, pair: (inet_ntop4, lseek), support: 70, confidence: 82.35%
bug: inet_ntop4 in handle_map_file, pair: (inet_ntop4, poll), support: 70, confidence: 82.35%
bug: inet_ntop4 in handle_map_file, pair: (inet_ntop4, write), support: 70, confidence: 82.35%
bug: inet_ntop4 in handle_multi, pair: (inet_ntop4, lseek), support: 70, confidence: 82.35%
bug: inet_ntop4 in handle_multi, pair: (inet_ntop4, poll), support: 70, confidence: 82.35%
bug: inet_ntop4 in handle_multi, pair: (inet_ntop4, write), support: 70, confidence: 82.35%
bug: inet_ntop4 in index_directory, pair: (inet_ntop4, lseek), support: 70, confidence: 82.35%
bug: inet_ntop4 in index_directory, pair: (inet_ntop4, poll), support: 70, confidence: 82.35%
bug: inet_ntop4 in index_directory, pair: (inet_ntop4, write), support: 70, confidence: 82.35%
bug: inet_ntop4 in main, pair: (apr_gcvt, inet_ntop4), support: 82, confidence: 96.47%
bug: inet_ntop4 in main, pair: (apr_strfsize, inet_ntop4), support: 82, confidence: 96.47%
bug: inet_ntop4 in main, pair: (conv_10_quad, inet_ntop4), support: 82, confidence: 96.47%
bug: inet_ntop4 in main, pair: (conv_apr_sockaddr, inet_ntop4), support: 82, confidence: 96.47%
bug: inet_ntop4 in main, pair: (conv_fp, inet_ntop4), support: 82, confidence: 96.47%
bug: inet_ntop4 in main, pair: (conv_in_addr, inet_ntop4), support: 82, confidence: 96.47%
bug: inet_ntop4 in main, pair: (conv_os_thread_t_hex, inet_ntop4), support: 82, confidence: 96.47%
bug: inet_ntop4 in main, pair: (conv_os_thread_t, inet_ntop4), support: 82, confidence: 96.47%
bug: inet_ntop4 in main, pair: (conv_p2_quad, inet_ntop4), support: 82, confidence: 96.47%
bug: inet_ntop4 in process_command_config, pair: (inet_ntop4, lseek), support: 70, confidence: 82.35%
bug: inet_ntop4 in process_command_config, pair: (inet_ntop4, poll), support: 70, confidence: 82.35%
bug: inet_ntop4 in process_command_config, pair: (inet_ntop4, strrchr), support: 70, confidence: 82.35%
bug: inet_ntop4 in process_command_config, pair: (inet_ntop4, write), support: 70, confidence: 82.35%
bug: inet_ntop4 in vt_sdbm_del, pair: (inet_ntop4, strrchr), support: 70, confidence: 82.35%
bug: inet_ntop4 in vt_sdbm_fetch, pair: (inet_ntop4, strrchr), support: 70, confidence: 82.35%
bug: inet_ntop4 in vt_sdbm_firstkey, pair: (inet_ntop4, strrchr), support: 70, confidence: 82.35%
bug: inet_ntop4 in vt_sdbm_nextkey, pair: (inet_ntop4, strrchr), support: 70, confidence: 82.35%
bug: inet_ntop4 in vt_sdbm_store, pair: (inet_ntop4, strrchr), support: 70, confidence: 82.35%
bug: __isinff in add_browser, pair: (__isinff, ntohl), support: 178, confidence: 97.27%
bug: __isinff in add_setenvif, pair: (__isinff, ntohl), support: 178, confidence: 97.27%
bug: __isinff in ap_http_chunk_filter, pair: (__isinff, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinff in ap_http_chunk_filter, pair: (__isinff, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinff in ap_regerror, pair: (__isinff, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinff in ap_regerror, pair: (__isinff, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinff in ap_rprintf, pair: (__isinff, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinff in ap_rprintf, pair: (__isinff, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinff in apr_snprintf, pair: (__isinff, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinff in apr_snprintf, pair: (__isinff, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinff in apr_strfsize, pair: (__isinff, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinff in apr_strfsize, pair: (__isinff, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinff in apr_vformatter, pair: (__isinff, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinff in apr_vformatter, pair: (__isinff, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinff in apr_vsnprintf, pair: (__isinff, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinff in apr_vsnprintf, pair: (__isinff, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinff in apr_xml_parser_geterror, pair: (__isinff, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinff in apr_xml_parser_geterror, pair: (__isinff, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinff in ap_vrprintf, pair: (__isinff, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinff in ap_vrprintf, pair: (__isinff, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinff in ap_xml_parse_input, pair: (__isinff, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinff in ap_xml_parse_input, pair: (__isinff, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinff in format_byte_out, pair: (__isinff, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinff in format_byte_out, pair: (__isinff, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinff in format_kbyte_out, pair: (__isinff, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinff in format_kbyte_out, pair: (__isinff, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinff in get_canned_error_string, pair: (__errno_location, __isinff), support: 181, confidence: 98.91%
bug: __isinff in handle_autoindex, pair: (__errno_location, __isinff), support: 181, confidence: 98.91%
bug: __isinff in handle_elif, pair: (__isinff, ntohl), support: 178, confidence: 97.27%
bug: __isinff in handle_if, pair: (__isinff, ntohl), support: 178, confidence: 97.27%
bug: __isinff in log_request_time, pair: (__isinff, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinff in log_request_time, pair: (__isinff, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinff in output_directories, pair: (__isinff, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinff in output_directories, pair: (__isinff, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinff in show_time, pair: (__isinff, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinff in show_time, pair: (__isinff, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinff in virtualhost_section, pair: (__isinff, ntohl), support: 178, confidence: 97.27%
bug: __isinf in add_browser, pair: (__isinf, ntohl), support: 178, confidence: 97.27%
bug: __isinf in add_setenvif, pair: (__isinf, ntohl), support: 178, confidence: 97.27%
bug: __isinf in ap_http_chunk_filter, pair: (__isinf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinf in ap_http_chunk_filter, pair: (__isinf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinf in ap_regerror, pair: (__isinf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinf in ap_regerror, pair: (__isinf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinf in ap_rprintf, pair: (__isinf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinf in ap_rprintf, pair: (__isinf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinf in apr_snprintf, pair: (__isinf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinf in apr_snprintf, pair: (__isinf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinf in apr_strfsize, pair: (__isinf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinf in apr_strfsize, pair: (__isinf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinf in apr_vformatter, pair: (__isinf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinf in apr_vformatter, pair: (__isinf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinf in apr_vsnprintf, pair: (__isinf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinf in apr_vsnprintf, pair: (__isinf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinf in apr_xml_parser_geterror, pair: (__isinf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinf in apr_xml_parser_geterror, pair: (__isinf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinf in ap_vrprintf, pair: (__isinf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinf in ap_vrprintf, pair: (__isinf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinf in ap_xml_parse_input, pair: (__isinf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinf in ap_xml_parse_input, pair: (__isinf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinf in format_byte_out, pair: (__isinf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinf in format_byte_out, pair: (__isinf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinf in format_kbyte_out, pair: (__isinf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinf in format_kbyte_out, pair: (__isinf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinf in get_canned_error_string, pair: (__errno_location, __isinf), support: 181, confidence: 98.91%
bug: __isinf in handle_autoindex, pair: (__errno_location, __isinf), support: 181, confidence: 98.91%
bug: __isinf in handle_elif, pair: (__isinf, ntohl), support: 178, confidence: 97.27%
bug: __isinf in handle_if, pair: (__isinf, ntohl), support: 178, confidence: 97.27%
bug: __isinf in log_request_time, pair: (__isinf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinf in log_request_time, pair: (__isinf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinf in output_directories, pair: (__isinf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinf in output_directories, pair: (__isinf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinf in show_time, pair: (__isinf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinf in show_time, pair: (__isinf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinf in virtualhost_section, pair: (__isinf, ntohl), support: 178, confidence: 97.27%
bug: __isinfl in add_browser, pair: (__isinfl, ntohl), support: 178, confidence: 97.27%
bug: __isinfl in add_setenvif, pair: (__isinfl, ntohl), support: 178, confidence: 97.27%
bug: __isinfl in ap_http_chunk_filter, pair: (__isinfl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinfl in ap_http_chunk_filter, pair: (__isinfl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinfl in ap_regerror, pair: (__isinfl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinfl in ap_regerror, pair: (__isinfl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinfl in ap_rprintf, pair: (__isinfl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinfl in ap_rprintf, pair: (__isinfl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinfl in apr_snprintf, pair: (__isinfl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinfl in apr_snprintf, pair: (__isinfl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinfl in apr_strfsize, pair: (__isinfl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinfl in apr_strfsize, pair: (__isinfl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinfl in apr_vformatter, pair: (__isinfl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinfl in apr_vformatter, pair: (__isinfl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinfl in apr_vsnprintf, pair: (__isinfl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinfl in apr_vsnprintf, pair: (__isinfl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinfl in apr_xml_parser_geterror, pair: (__isinfl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinfl in apr_xml_parser_geterror, pair: (__isinfl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinfl in ap_vrprintf, pair: (__isinfl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinfl in ap_vrprintf, pair: (__isinfl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinfl in ap_xml_parse_input, pair: (__isinfl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinfl in ap_xml_parse_input, pair: (__isinfl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinfl in format_byte_out, pair: (__isinfl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinfl in format_byte_out, pair: (__isinfl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinfl in format_kbyte_out, pair: (__isinfl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinfl in format_kbyte_out, pair: (__isinfl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinfl in get_canned_error_string, pair: (__errno_location, __isinfl), support: 181, confidence: 98.91%
bug: __isinfl in handle_autoindex, pair: (__errno_location, __isinfl), support: 181, confidence: 98.91%
bug: __isinfl in handle_elif, pair: (__isinfl, ntohl), support: 178, confidence: 97.27%
bug: __isinfl in handle_if, pair: (__isinfl, ntohl), support: 178, confidence: 97.27%
bug: __isinfl in log_request_time, pair: (__isinfl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinfl in log_request_time, pair: (__isinfl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinfl in output_directories, pair: (__isinfl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinfl in output_directories, pair: (__isinfl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinfl in show_time, pair: (__isinfl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isinfl in show_time, pair: (__isinfl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isinfl in virtualhost_section, pair: (__isinfl, ntohl), support: 178, confidence: 97.27%
bug: __isnanf in add_browser, pair: (__isnanf, ntohl), support: 178, confidence: 97.27%
bug: __isnanf in add_setenvif, pair: (__isnanf, ntohl), support: 178, confidence: 97.27%
bug: __isnanf in ap_http_chunk_filter, pair: (__isnanf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanf in ap_http_chunk_filter, pair: (__isnanf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanf in ap_regerror, pair: (__isnanf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanf in ap_regerror, pair: (__isnanf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanf in ap_rprintf, pair: (__isnanf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanf in ap_rprintf, pair: (__isnanf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanf in apr_snprintf, pair: (__isnanf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanf in apr_snprintf, pair: (__isnanf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanf in apr_strfsize, pair: (__isnanf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanf in apr_strfsize, pair: (__isnanf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanf in apr_vformatter, pair: (__isnanf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanf in apr_vformatter, pair: (__isnanf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanf in apr_vsnprintf, pair: (__isnanf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanf in apr_vsnprintf, pair: (__isnanf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanf in apr_xml_parser_geterror, pair: (__isnanf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanf in apr_xml_parser_geterror, pair: (__isnanf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanf in ap_vrprintf, pair: (__isnanf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanf in ap_vrprintf, pair: (__isnanf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanf in ap_xml_parse_input, pair: (__isnanf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanf in ap_xml_parse_input, pair: (__isnanf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanf in format_byte_out, pair: (__isnanf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanf in format_byte_out, pair: (__isnanf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanf in format_kbyte_out, pair: (__isnanf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanf in format_kbyte_out, pair: (__isnanf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanf in get_canned_error_string, pair: (__errno_location, __isnanf), support: 181, confidence: 98.91%
bug: __isnanf in handle_autoindex, pair: (__errno_location, __isnanf), support: 181, confidence: 98.91%
bug: __isnanf in handle_elif, pair: (__isnanf, ntohl), support: 178, confidence: 97.27%
bug: __isnanf in handle_if, pair: (__isnanf, ntohl), support: 178, confidence: 97.27%
bug: __isnanf in log_request_time, pair: (__isnanf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanf in log_request_time, pair: (__isnanf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanf in output_directories, pair: (__isnanf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanf in output_directories, pair: (__isnanf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanf in show_time, pair: (__isnanf, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanf in show_time, pair: (__isnanf, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanf in virtualhost_section, pair: (__isnanf, ntohl), support: 178, confidence: 97.27%
bug: __isnan in add_browser, pair: (__isnan, ntohl), support: 178, confidence: 97.27%
bug: __isnan in add_setenvif, pair: (__isnan, ntohl), support: 178, confidence: 97.27%
bug: __isnan in ap_http_chunk_filter, pair: (__isnan, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnan in ap_http_chunk_filter, pair: (__isnan, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnan in ap_regerror, pair: (__isnan, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnan in ap_regerror, pair: (__isnan, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnan in ap_rprintf, pair: (__isnan, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnan in ap_rprintf, pair: (__isnan, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnan in apr_snprintf, pair: (__isnan, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnan in apr_snprintf, pair: (__isnan, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnan in apr_strfsize, pair: (__isnan, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnan in apr_strfsize, pair: (__isnan, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnan in apr_vformatter, pair: (__isnan, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnan in apr_vformatter, pair: (__isnan, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnan in apr_vsnprintf, pair: (__isnan, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnan in apr_vsnprintf, pair: (__isnan, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnan in apr_xml_parser_geterror, pair: (__isnan, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnan in apr_xml_parser_geterror, pair: (__isnan, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnan in ap_vrprintf, pair: (__isnan, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnan in ap_vrprintf, pair: (__isnan, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnan in ap_xml_parse_input, pair: (__isnan, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnan in ap_xml_parse_input, pair: (__isnan, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnan in format_byte_out, pair: (__isnan, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnan in format_byte_out, pair: (__isnan, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnan in format_kbyte_out, pair: (__isnan, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnan in format_kbyte_out, pair: (__isnan, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnan in get_canned_error_string, pair: (__errno_location, __isnan), support: 181, confidence: 98.91%
bug: __isnan in handle_autoindex, pair: (__errno_location, __isnan), support: 181, confidence: 98.91%
bug: __isnan in handle_elif, pair: (__isnan, ntohl), support: 178, confidence: 97.27%
bug: __isnan in handle_if, pair: (__isnan, ntohl), support: 178, confidence: 97.27%
bug: __isnan in log_request_time, pair: (__isnan, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnan in log_request_time, pair: (__isnan, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnan in output_directories, pair: (__isnan, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnan in output_directories, pair: (__isnan, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnan in show_time, pair: (__isnan, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnan in show_time, pair: (__isnan, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnan in virtualhost_section, pair: (__isnan, ntohl), support: 178, confidence: 97.27%
bug: __isnanl in add_browser, pair: (__isnanl, ntohl), support: 178, confidence: 97.27%
bug: __isnanl in add_setenvif, pair: (__isnanl, ntohl), support: 178, confidence: 97.27%
bug: __isnanl in ap_http_chunk_filter, pair: (__isnanl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanl in ap_http_chunk_filter, pair: (__isnanl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanl in ap_regerror, pair: (__isnanl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanl in ap_regerror, pair: (__isnanl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanl in ap_rprintf, pair: (__isnanl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanl in ap_rprintf, pair: (__isnanl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanl in apr_snprintf, pair: (__isnanl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanl in apr_snprintf, pair: (__isnanl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanl in apr_strfsize, pair: (__isnanl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanl in apr_strfsize, pair: (__isnanl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanl in apr_vformatter, pair: (__isnanl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanl in apr_vformatter, pair: (__isnanl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanl in apr_vsnprintf, pair: (__isnanl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanl in apr_vsnprintf, pair: (__isnanl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanl in apr_xml_parser_geterror, pair: (__isnanl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanl in apr_xml_parser_geterror, pair: (__isnanl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanl in ap_vrprintf, pair: (__isnanl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanl in ap_vrprintf, pair: (__isnanl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanl in ap_xml_parse_input, pair: (__isnanl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanl in ap_xml_parse_input, pair: (__isnanl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanl in format_byte_out, pair: (__isnanl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanl in format_byte_out, pair: (__isnanl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanl in format_kbyte_out, pair: (__isnanl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanl in format_kbyte_out, pair: (__isnanl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanl in get_canned_error_string, pair: (__errno_location, __isnanl), support: 181, confidence: 98.91%
bug: __isnanl in handle_autoindex, pair: (__errno_location, __isnanl), support: 181, confidence: 98.91%
bug: __isnanl in handle_elif, pair: (__isnanl, ntohl), support: 178, confidence: 97.27%
bug: __isnanl in handle_if, pair: (__isnanl, ntohl), support: 178, confidence: 97.27%
bug: __isnanl in log_request_time, pair: (__isnanl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanl in log_request_time, pair: (__isnanl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanl in output_directories, pair: (__isnanl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanl in output_directories, pair: (__isnanl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanl in show_time, pair: (__isnanl, apr_thread_mutex_lock), support: 168, confidence: 91.80%
bug: __isnanl in show_time, pair: (__isnanl, apr_thread_mutex_unlock), support: 168, confidence: 91.80%
bug: __isnanl in virtualhost_section, pair: (__isnanl, ntohl), support: 178, confidence: 97.27%
bug: kill in ap_mpm_safe_kill, pair: (apr_allocator_mutex_get, kill), support: 47, confidence: 81.03%
bug: kill in ap_mpm_safe_kill, pair: (apr_allocator_mutex_set, kill), support: 47, confidence: 81.03%
bug: kill in ap_mpm_safe_kill, pair: (apr_allocator_owner_get, kill), support: 47, confidence: 81.03%
bug: kill in ap_mpm_safe_kill, pair: (apr_proc_kill, kill), support: 47, confidence: 81.03%
bug: kill in ap_mpm_safe_kill, pair: (apr_sleep, kill), support: 49, confidence: 84.48%
bug: kill in ap_mpm_safe_kill, pair: (free, kill), support: 48, confidence: 82.76%
bug: kill in ap_mpm_safe_kill, pair: (free_proc_chain, kill), support: 47, confidence: 81.03%
bug: kill in ap_mpm_safe_kill, pair: (kill, run_cleanups), support: 47, confidence: 81.03%
bug: kill in ap_reclaim_child_processes, pair: (apr_allocator_mutex_get, kill), support: 47, confidence: 81.03%
